1	0
100	2.9e-05
200	9.9e-05
300	0.000268
400	0.000334
500	0.000495
600	0.000782
700	0.001056
800	0.001363
900	0.001642
1000	0.001976
2000	0.008813
2000	0.010402
3000	0.020607
4000	0.133017
